id,published,lastModified,description,severity,cvssScore
CVE-1999-0232,1995-02-01T05:00:00.000,2025-04-03T01:03:51.193,Buffer overflow in NCSA WebServer (version 1.5c) gives remote access.,HIGH,
CVE-1999-0235,1995-02-17T05:00:00.000,2025-04-03T01:03:51.193,Buffer overflow in NCSA WebServer (1.4.1 and below) gives remote access.,HIGH,
CVE-1999-1098,1995-03-03T05:00:00.000,2025-04-03T01:03:51.193,Vulnerability in BSD Telnet client with encryption and Kerberos 4 authentication allows remote attackers to decrypt the session via sniffing.,MEDIUM,
CVE-1999-0151,1995-04-03T04:00:00.000,2025-04-03T01:03:51.193,"The SATAN session key may be disclosed if the user points the web browser to other sites, possibly allowing root access.",HIGH,
CVE-1999-0241,1995-11-01T05:00:00.000,2025-04-03T01:03:51.193,"Guessable magic cookies in X Windows allows remote attackers to execute commands, e.g. through xterm.",HIGH,
CVE-1999-0143,1996-02-21T05:00:00.000,2025-04-03T01:03:51.193,Kerberos 4 key servers allow a user to masquerade as another by breaking and generating session keys.,MEDIUM,
CVE-1999-0175,1996-07-01T04:00:00.000,2025-04-03T01:03:51.193,The convert.bas program in the Novell web server allows a remote attackers to read any file on the system that is internally accessible by the web server.,MEDIUM,
CVE-1999-0045,1996-12-10T05:00:00.000,2025-04-03T01:03:51.193,List of arbitrary files on Web host via nph-test-cgi script.,HIGH,
CVE-1999-0173,1997-01-01T05:00:00.000,2025-04-03T01:03:51.193,FormMail CGI program can be used by web servers other than the host server that the program resides on.,MEDIUM,
CVE-1999-0178,1997-01-01T05:00:00.000,2025-04-03T01:03:51.193,Buffer overflow in the win-c-sample program (win-c-sample.exe) in the WebSite web server 1.1e allows remote attackers to execute arbitrary code via a long query string.,HIGH,
CVE-1999-0202,1997-01-01T05:00:00.000,2025-04-03T01:03:51.193,"The GNU tar command, when used in FTP sessions, may allow an attacker to execute arbitrary commands.",HIGH,
CVE-1999-0236,1997-01-01T05:00:00.000,2025-04-20T01:37:25.860,ScriptAlias directory in NCSA and Apache httpd allowed attackers to read CGI programs.,MEDIUM,
